unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1612759260,02/08/2021 04:41:00,BTC/USD,38632.85,38637.56,38620.89,38620.89,2.54309841,98216.7239517849
1612759200,02/08/2021 04:40:00,BTC/USD,38627.07,38652.13,38626.79,38634.25,2.5074181,96872.217729925
1612759140,02/08/2021 04:39:00,BTC/USD,38654.81,38668.18,38633.92,38633.92,0.88406045,34154.720700464
1612759080,02/08/2021 04:38:00,BTC/USD,38661.33,38687.05,38655.73,38655.73,0.30496098,11788.4893034154
1612759020,02/08/2021 04:37:00,BTC/USD,38665.29,38665.29,38661.54,38661.54,0.55505,21459.087777
1612758960,02/08/2021 04:36:00,BTC/USD,38664.86,38675.53,38619.46,38675.53,1.47347879,56987.5731470087
1612758900,02/08/2021 04:35:00,BTC/USD,38667.7,38695.24,38658.37,38668.35,5.26640786,203643.302373231
1612758840,02/08/2021 04:34:00,BTC/USD,38630.55,38669.36,38627.83,38669.36,1.83549219,70977.3082722984
1612758780,02/08/2021 04:33:00,BTC/USD,38574.74,38670.1,38574.74,38656.09,11.33632042,438217.822424357
1612758720,02/08/2021 04:32:00,BTC/USD,38607.66,38607.66,38552.92,38580.62,2.16880821,83673.9654028902
1612758660,02/08/2021 04:31:00,BTC/USD,38624.08,38629.5,38617.8,38617.8,3.2812185,126713.4397893
1612758600,02/08/2021 04:30:00,BTC/USD,38642.97,38670.81,38622.86,38624.36,3.97852499,153667.981482756
1612758540,02/08/2021 04:29:00,BTC/USD,38648.85,38670.52,38642.85,38642.85,3.35683246,129717.573226911
1612758480,02/08/2021 04:28:00,BTC/USD,38603.36,38648.86,38603.36,38641.15,7.86695268,303988.098550782
1612758420,02/08/2021 04:27:00,BTC/USD,38618.31,38618.31,38603.04,38603.04,0.46599237,17988.7220988048
1612758360,02/08/2021 04:26:00,BTC/USD,38581.21,38623.21,38581.2,38619.16,1.19487555,46145.090045538
1612758300,02/08/2021 04:25:00,BTC/USD,38603.34,38604.35,38572.13,38572.13,1.6633133,64157.536838329
1612758240,02/08/2021 04:24:00,BTC/USD,38577.62,38615.26,38577.62,38606.27,1.63875074,63266.0535311398
1612758180,02/08/2021 04:23:00,BTC/USD,38589.16,38609.3,38589.16,38604.32,2.02301645,78097.174401064
1612758120,02/08/2021 04:22:00,BTC/USD,38591.18,38622.05,38570.56,38570.56,3.42369558,132053.855790124
1612758060,02/08/2021 04:21:00,BTC/USD,38549.51,38576.23,38549.51,38573.59,4.14944143,160058.852449833
1612758000,02/08/2021 04:20:00,BTC/USD,38532.94,38560.29,38511.17,38537.39,6.7102866,258596.931715974
1612757940,02/08/2021 04:19:00,BTC/USD,38521.8,38543.98,38518.56,38541.26,1.396185,53810.7290931
1612757880,02/08/2021 04:18:00,BTC/USD,38559.21,38571.73,38509.62,38531.67,2.27307677,87585.4439863059
1612757820,02/08/2021 04:17:00,BTC/USD,38601,38602.54,38579.5,38579.5,6.47043007,249625.956885564
1612757760,02/08/2021 04:16:00,BTC/USD,38509.65,38584.55,38509.65,38576.61,7.50899308,289671.497539858
1612757700,02/08/2021 04:15:00,BTC/USD,38441.99,38510.06,38441.99,38510.06,2.88885695,111250.054475917
1612757640,02/08/2021 04:14:00,BTC/USD,38442.77,38457.41,38406.68,38434.44,4.99633273,192031.250531221
1612757580,02/08/2021 04:13:00,BTC/USD,38427.23,38432.27,38423.47,38432.27,0.90903379,34936.2320564032
1612757520,02/08/2021 04:12:00,BTC/USD,38417.04,38438.89,38415.09,38438.89,2.40377612,92398.4858613067
1612757460,02/08/2021 04:11:00,BTC/USD,38374.6,38415.37,38373.14,38415.37,3.96310084,152243.98511591
1612757400,02/08/2021 04:10:00,BTC/USD,38426.31,38427.35,38356.53,38384.11,3.33233908,127908.869804018
1612757340,02/08/2021 04:09:00,BTC/USD,38343.6,38412.11,38343.6,38412.11,5.5952318,214924.659377098
1612757280,02/08/2021 04:08:00,BTC/USD,38338.27,38351.68,38330.59,38341.52,3.26009416,124996.965437523
1612757220,02/08/2021 04:07:00,BTC/USD,38312.2,38330.12,38310.07,38330.12,2.807069,107595.29161828
1612757160,02/08/2021 04:06:00,BTC/USD,38278.36,38328.43,38278.36,38328.43,3.70161011,141876.903988427
1612757100,02/08/2021 04:05:00,BTC/USD,38272.81,38276.08,38265.17,38273.31,5.39191492,206366.431226785
1612757040,02/08/2021 04:04:00,BTC/USD,38289.29,38294.11,38271.91,38275.84,3.32002603,127076.785120115
1612756980,02/08/2021 04:03:00,BTC/USD,38215.36,38299.08,38212.56,38299.08,4.8472848,185646.548337984
1612756920,02/08/2021 04:02:00,BTC/USD,38185.46,38215.04,38185.46,38215.04,1.0060096,38444.697104384
